WMO,Modifier,Duplicate,Name,Country,Latitude,Longitude,Elevation,N,MAP,Cv,DryMonth,ONDJFM_P,ONDJFM_DryM,ONDJFM_WetM,AMJJAS_P,AMJJAS_DryM,AMJJAS_WetM,P & T
17022,0,1,ZONGULDAK,TURKEY,41.4,31.8,136,59,1207.28,0.159,54.50,773.83,95.79,150.79,445.87,54.50,100.96,Yes
17022,8,1,BARTIN,TURKEY,41.6,32.3,30,30,1021.7,0.15,55.12,635.24,71.08,141.15,386.47,55.12,75.93,No
17024,0,1,INEBOLU,TURKEY,42,33.8,64,39,997.1,0.194,45.44,660.89,76.91,133.88,336.23,45.44,86.46,No
17024,2,1,BOZKURT,TURKEY,42,34,167,30,1192.93,0.187,53.13,798.53,86.23,160.44,394.40,53.13,94.77,Yes
17026,0,1,SINOP,TURKEY,42,35.2,32,47,653.99,0.2,29.19,419.44,48.38,83.44,239.76,29.19,61.86,Yes
17030,0,1,SAMSUN,TURKEY,41.3,36.3,44,79,710.99,0.163,31.46,442.69,59.54,88.87,267.15,31.46,56.85,Yes
17034,0,1,GIRESUN,TURKEY,40.9,38.4,38,62,1272.91,0.134,67.47,761.58,95.86,160.22,508.64,67.47,121.61,Yes
17034,5,1,ORDU,TURKEY,41,37.9,4,30,1020.08,0.135,51.05,615.27,75.41,125.61,404.82,51.05,74.99,No
17038,0,1,TRABZON,TURKEY,41,39.7,37,57,803.61,0.173,36.84,492.51,56.56,109.87,311.80,36.84,73.09,Yes
17040,0,1,RIZE,TURKEY,41,40.5,4,65,2312.75,0.17,98.77,1389.95,163.36,285.70,921.26,98.77,252.60,Yes
17042,1,1,HOPA,TURKEY,41.4,41.4,33,30,2209.55,0.155,91.39,1282.72,134.55,297.93,926.93,91.39,240.21,No
17045,3,1,ARTVIN,TURKEY,41.2,41.8,597,29,676.1,0.198,25.64,433.05,55.78,100.21,250.93,25.64,61.04,No
17050,0,1,EDIRNE,TURKEY,41.7,26.6,48,72,582.83,0.221,23.06,355.43,48.09,72.74,233.58,23.06,50.83,Yes
17056,0,1,TEKIRDAG,TURKEY,41,27.5,4,43,578.5,0.21,14.64,394.68,49.41,85.56,180.52,14.64,40.43,Yes
17059,0,1,KUMKOY,TURKEY,41.3,29,30,31,775.82,0.226,24.88,540.33,67.19,115.57,238.75,24.88,51.78,Yes
17062,0,1,ISTANBUL/GOZTEPE,TURKEY,41,29.1,40,113,693.36,0.197,24.35,491.00,62.40,112.88,204.71,24.35,47.30,Yes
17068,4,1,ALIFUATPASA,TURKEY,40.5,30.3,100,29,666.19,0.158,26.86,427.47,53.65,102.24,231.95,26.86,52.93,No
